model,latent_dim,beta,dropout,epochs,val_auroc,n_estimators,max_samples,max_features,contamination
vae,16.0,0.5,0.1,40.0,0.917600862611196,,,,
vae,16.0,0.5,0.1,60.0,0.9232754809584157,,,,
vae,16.0,0.5,0.2,40.0,0.9159644916512002,,,,
vae,16.0,0.5,0.2,60.0,0.9144260072318051,,,,
vae,16.0,1.0,0.1,40.0,0.9246235340412282,,,,
vae,16.0,1.0,0.1,60.0,0.922217270194986,,,,
vae,16.0,1.0,0.2,40.0,0.9124924072243689,,,,
vae,16.0,1.0,0.2,60.0,0.9125503360279603,,,,
vae,32.0,0.5,0.1,40.0,0.9213539153686703,,,,
vae,32.0,0.5,0.1,60.0,0.9221024536702805,,,,
vae,32.0,0.5,0.2,40.0,0.9155747425954559,,,,
vae,32.0,0.5,0.2,60.0,0.9222123994162502,,,,
vae,32.0,1.0,0.1,40.0,0.9230762252084489,,,,
vae,32.0,1.0,0.1,60.0,0.91244103476162,,,,
vae,32.0,1.0,0.2,40.0,0.9136331485618497,,,,
vae,32.0,1.0,0.2,60.0,0.9130008148949158,,,,
isolation_forest,,,,,0.9327126085622838,200.0,256.0,1.0,
isolation_forest,,,,,0.9291525030907136,200.0,256.0,0.8,
isolation_forest,,,,,0.9349390501981464,200.0,512.0,1.0,
isolation_forest,,,,,0.9309502046532668,200.0,512.0,0.8,
isolation_forest,,,,,0.9333001385011511,400.0,256.0,1.0,
isolation_forest,,,,,0.9291052701701983,400.0,256.0,0.8,
isolation_forest,,,,,0.9379532814238042,400.0,512.0,1.0,
isolation_forest,,,,,0.9290169268856451,400.0,512.0,0.8,
ecod,,,,,0.9537054542187078,,,,0.05
ecod,,,,,0.9537054542187078,,,,0.1
ecod,,,,,0.9537054542187078,,,,0.15
copod,,,,,0.8976865288265202,,,,0.05
copod,,,,,0.8976865288265202,,,,0.1
copod,,,,,0.8976865288265202,,,,0.15
hbos,,,,,0.9239981161364685,,,,0.05
hbos,,,,,0.9239981161364685,,,,0.1
hbos,,,,,0.9239981161364685,,,,0.15
